视网膜影像可见黄斑区色泽异常，中心凹反光消失，有锡箔样或玻璃纸样反光 ______ 視網膜影像可見黃斑區色澤異常，中心凹反光消失，有錫箔樣或玻璃紙樣反光
视网膜影像未见糖尿病性视网膜病变表现。 ______ 視網膜影像未見糖尿病性視網膜病變表現。


未发现糖尿病视网膜病变类似异常 ______ 未發現糖尿病視網膜病變類似異常
未发现杯盘比偏大 ______ 未發現杯盤比偏大
杯盘比正常。 ______ 杯盤比正常。
动脉硬化风险 ______ 動脈硬化風險
您的动脉硬化风险为低风险，建议继续保持。大数据统计结果显示，低风险人群出现高血压的可能性为0.3% ______ 您的動脈硬化風險為低風險，建議繼續保持。大數據統計結果顯示，低風險人群出現高血壓的可能性為0.3%
您的动脉硬化风险为中低风险，建议引起关注。大数据统计结果显示，中低风险人群出现高血压的可能性为8.7% ______ 您的動脈硬化風險為中低風險，建議引起關注。大數據統計結果顯示，中低風險人群出現高血壓的可能性為8.7%
您的动脉硬化风险为中高风险，建议引起重视。大数据统计结果显示，中高风险人群出现高血压的可能性为19.2% ______ 您的動脈硬化風險為中高風險，建議引起重視。大數據統計結果顯示，中高風險人群出現高血壓的可能性為19.2%
您的动脉硬化风险为高风险，建议定期监测血压，坚持健康管理。大数据统计结果显示，高风险人群出现高血压的可能性为50.5% ______ 您的動脈硬化風險為高風險，建議定期監測血壓，堅持健康管理。大數據統計結果顯示，高風險人群出現高血壓的可能性為50.5%
心脑血管风险 ______ 心腦血管風險
您的心脑血管风险为低风险，建议继续保持。数据结果显示，低风险人群未来10年突发心脑血管事件的概率＜5% ______ 您的心腦血管風險為低風險，建議繼續保持。數據結果顯示，低風險人群未來10年突發心腦血管事件的概率＜5%
您的心脑血管风险为中低风险，建议引起关注。数据结果显示，中低风险人群未来10年突发心脑血管事件的概率为5%-10% ______ 您的心腦血管風險為中低風險，建議引起關注。數據結果顯示，中低風險人群未來10年突發心腦血管事件的概率為5%-10%
您的心脑血管风险为中高风险，建议引起重视。数据结果显示，中高风险人群未来10年突发心脑血管事件的概率为10%-15% ______ 您的心腦血管風險為中高風險，建議引起重視。數據結果顯示，中高風險人群未來10年突發心腦血管事件的概率為10%-15%
您的心脑血管风险为高风险，建议控制好生化指标，远离相关危险因素。数据结果显示，高风险人群未来10年突发心脑血管事件的概率为15%-50% ______ 您的心腦血管風險為高風險，建議控制好生化指標，遠離相關危險因素。數據結果顯示，高風險人群未來10年突發心腦血管事件的概率為15%-50%
极高风险 ______ 極高風險
如有视力下降，建议眼科检查。 ______ 如有視力下降，建議眼科檢查。
建议立即眼科检查。 ______ 建議立即眼科檢查。
左眼图片不可读，右眼发现中度非增殖性（含）以上糖尿病性视网膜病变 ______ 左眼圖片不可讀，右眼發現中度非增殖性（含）以上糖尿病性視網膜病變
右眼图片不可读，左眼发现中度非增殖性（含）以上糖尿病性视网膜病变 ______ 右眼圖片不可讀，左眼發現中度非增殖性（含）以上糖尿病性視網膜病變
右眼 ______ 右眼
左眼 ______ 左眼

极高风险 ______ 極高風險
您的贫血风险为低风险，说明您的视网膜血管颜色红润，分析结果显示出现贫血的可能性较低，建议您继续保持。 ______ 您的貧血風險為低風險，說明您的視網膜血管顏色紅潤，分析結果顯示出現貧血的可能性較低，建議您繼續保持。
您的贫血风险为中低风险，说明您的视网膜血管红润程度尚可，分析结果显示出现贫血的可能性不高，建议您保持关注。 ______ 您的貧血風險為中低風險，說明您的視網膜血管紅潤程度尚可，分析結果顯示出現貧血的可能性不高，建議您保持關注。
您的贫血风险为中高风险，说明您的视网膜血管红润程度偏低，分析结果显示有出现贫血的风险，可适当调整干预。 ______ 您的貧血風險為中高風險，說明您的視網膜血管紅潤程度偏低，分析結果顯示有出現貧血的風險，可適當調整干預。
您的贫血风险为高风险，说明您的视网膜血管颜色偏淡，分析结果显示出现贫血的风险高，请注意干预调整。 ______ 您的貧血風險為高風險，說明您的視網膜血管顏色偏淡，分析結果顯示出現貧血的風險高，請注意干預調整。
脑肿瘤风险 ______ 腦腫瘤風險
您的脑肿瘤风险为低风险，说明视网膜图像中未发现脑肿瘤高风险的特征性表现，当前存在脑肿瘤的可能性低，建议您继续保持。 ______ 您的腦腫瘤風險為低風險，說明視網膜圖像中未發現腦腫瘤高風險的特徵性表現，當前存在腦腫瘤的可能性低，建議您繼續保持。
您的脑肿瘤风险为高风险，说明视网膜图像中发现脑肿瘤高风险的特征性表现，存在脑肿瘤的风险高，建议您至专业机构进一步检测和干预，防止不良事件的发生。 ______ 您的腦腫瘤風險為高風險，說明視網膜圖像中發現腦腫瘤高風險的特徵性表現，存在腦腫瘤的風險高，建議您至專業機構進一步檢測和干預，防止不良事件的發生。
认知症（痴呆）风险 ______ 認知症（癡呆）風險
您的认知症（痴呆）风险为低风险，建议继续保持。数据结果显示，低风险人群未来20年出现认知症（痴呆）的概率＜1% ______ 您的認知症（癡呆）風險為低風險，建議繼續保持。數據結果顯示，低風險人群未來20年出現認知症（癡呆）的概率＜1%
您的认知症（痴呆）风险为中低风险，建议引起关注，调整生活方式。数据结果显示，中低风险人群未来20年出现认知症（痴呆）的概率为1%-2% ______ 您的認知症（癡呆）風險為中低風險，建議引起關注，調整生活方式。數據結果顯示，中低風險人群未來20年出現認知症（癡呆）的概率為1%-2%
您的认知症（痴呆）风险为中高风险，建议引起重视，做好预防工作。数据结果显示，中高风险人群未来20年出现认知症（痴呆）的概率为2%-4% ______ 您的認知症（癡呆）風險為中高風險，建議引起重視，做好預防工作。數據結果顯示，中高風險人群未來20年出現認知症（癡呆）的概率為2%-4%
您的认知症（痴呆）风险为高风险，建议持续关注，定期监测。数据结果显示，高风险人群未来20年出现认知症（痴呆）的概率为4%-16% ______ 您的認知症（癡呆）風險為高風險，建議持續關注，定期監測。數據結果顯示，高風險人群未來20年出現認知症（癡呆）的概率為4%-16%
老年痴呆风险 ______ 認知症（癡呆）風險
您的老年痴呆风险为低风险，建议继续保持。数据结果显示，低风险人群未来20年出现老年痴呆的概率＜1% ______ 您的認知症（癡呆）風險為低風險，建議繼續保持。數據結果顯示，低風險人群未來20年出現認知症（癡呆）的概率＜1%
您的老年痴呆风险为中低风险，建议引起关注，调整生活方式。数据结果显示，中低风险人群未来20年出现老年痴呆的概率为1%-2% ______ 您的認知症（癡呆）風險為中低風險，建議引起關注，調整生活方式。數據結果顯示，中低風險人群未來20年出現認知症（癡呆）的概率為1%-2%
您的老年痴呆风险为中高风险，建议引起重视，做好预防工作。数据结果显示，中高风险人群未来20年出现老年痴呆的概率为2%-4% ______ 您的認知症（癡呆）風險為中高風險，建議引起重視，做好預防工作。數據結果顯示，中高風險人群未來20年出現認知症（癡呆）的概率為2%-4%
您的老年痴呆风险为高风险，建议持续关注，定期监测。数据结果显示，高风险人群未来20年出现老年痴呆的概率为4%-16% ______ 您的認知症（癡呆）風險為高風險，建議持續關注，定期監測。數據結果顯示，高風險人群未來20年出現認知症（癡呆）的概率為4%-16%
糖代谢风险 ______ 糖代謝風險
您的糖代谢风险为低风险，建议继续保持。大数据统计结果显示，低风险人群出现糖尿病的可能性为0.1% ______ 您的糖代謝風險為低風險，建議繼續保持。大數據統計結果顯示，低風險人群出現糖尿病的可能性為0.1%
您的糖代谢风险为中低风险，建议引起关注。大数据统计结果显示，中低风险人群出现糖尿病的可能性为2.4% ______ 您的糖代謝風險為中低風險，建議引起關注。大數據統計結果顯示，中低風險人群出現糖尿病的可能性為2.4%
您的糖代谢风险为中高风险，建议引起重视。大数据统计结果显示，中高风险人群出现糖尿病的可能性为4.1% ______ 您的糖代謝風險為中高風險，建議引起重視。大數據統計結果顯示，中高風險人群出現糖尿病的可能性為4.1%
您的糖代谢风险为高风险，建议定期监测血糖，坚持健康管理。大数据统计结果显示，高风险人群出现糖尿病的可能性为38.1% ______ 您的糖代謝風險為高風險，建議定期監測血糖，堅持健康管理。大數據統計結果顯示，高風險人群出現糖尿病的可能性為38.1%
可吸入颗粒物风险 ______ 可吸入顆粒物風險
您的可吸入颗粒物风险为正常，说明从您当前的状况来看，受可吸入颗粒物损伤的风险较小，建议您继续保持。 ______ 您的可吸入顆粒物風險為正常，說明從您當前的狀況來看，受可吸入顆粒物損傷的風險較小，建議您繼續保持。
您的可吸入颗粒物风险为需关注，说明从您当前的状况来看，存在一定可吸入颗粒物损伤的情况，建议保持关注。 ______ 您的可吸入顆粒物風險為需關注，說明從您當前的狀況來看，存在一定可吸入顆粒物損傷的情況，建議保持關注。
您的可吸入颗粒物风险为密切关注，说明从您当前的状况来看，可能存在较多的可吸入颗粒物损伤情况，建议减少可吸入颗粒物的接触。 ______ 您的可吸入顆粒物風險為密切關注，說明從您當前的狀況來看，可能存在較多的可吸入顆粒物損傷情況，建議減少可吸入顆粒物的接觸。
黄斑视力损伤风险 ______ 黃斑視力損傷風險
您的黄斑视力损伤风险为低风险，说明未发现任何结构异常改变。建议保持良好的用眼习惯并补充叶黄素等防蓝光物质，预防黄斑损伤。 ______ 您的黃斑視力損傷風險為低風險，說明未發現任何結構異常改變。建議保持良好的用眼習慣並補充葉黃素等防藍光物質，預防黃斑損傷。
您的黄斑视力损伤风险为中低风险，说明黄斑区出现轻微的生理性改变，通常不影响视力。建议改善用眼习惯并补充叶黄素等防蓝光物质，延缓黄斑损伤。 ______ 您的黃斑視力損傷風險為中低風險，說明黃斑區出現輕微的生理性改變，通常不影響視力。建議改善用眼習慣並補充葉黃素等防藍光物質，延緩黃斑損傷。
您的黄斑视力损伤风险为中高风险，说明黄斑区出现明显的改变，如继续进展可能影响视力。建议定期监测风险并补充叶黄素等防蓝光物质，延缓黄斑损伤。 ______ 您的黃斑視力損傷風險為中高風險，說明黃斑區出現明顯的改變，如繼續進展可能影響視力。建議定期監測風險並補充葉黃素等防藍光物質，延緩黃斑損傷。
您的黄斑视力损伤风险为高风险，说明黄斑区出现严重的异常改变，视力可能已经受到影响。建议进一步检查，关注黄斑健康。 ______ 您的黃斑視力損傷風險為高風險，說明黃斑區出現嚴重的異常改變，視力可能已經受到影響。建議進一步檢查，關注黃斑健康。
您的黄斑视力损伤风险为低风险，说明成年后出现高度近视和视力下降的可能性低。建议继续保持良好的用眼习惯。 ______ 您的黃斑視力損傷風險為低風險，說明成年後出現高度近視和視力下降的可能性低。建議繼續保持良好的用眼習慣。
您的黄斑视力损伤风险为中低风险，说明成年后有一定出现高度近视和视力下降的可能性。建议保持良好的用眼习惯并定期监测风险。 ______ 您的黃斑視力損傷風險為中低風險，說明成年後有一定出現高度近視和視力下降的可能性。建議保持良好的用眼習慣並定期監測風險。
您的黄斑视力损伤风险为中高风险，说明成年后出现高度近视和视力下降的可能性较高，但仍有机会控制。建议及时改善用眼习惯并补充叶黄素等防蓝光物质。 ______ 您的黃斑視力損傷風險為中高風險，說明成年後出現高度近視和視力下降的可能性較高，但仍有機會控制。建議及時改善用眼習慣並補充葉黃素等防藍光物質。
您的黄斑视力损伤风险为高风险，说明成年后出现高度近视和视力下降的可能性很高，需要从现在起进行预防。建议及时改善用眼习惯并补充叶黄素等防蓝光物质。 ______ 您的黃斑視力損傷風險為高風險，說明成年後出現高度近視和視力下降的可能性很高，需要從現在起進行預防。建議及時改善用眼習慣並補充葉黃素等防藍光物質。
视网膜年龄 ______ 視網膜年齡
您的视网膜年龄比真实年龄小，这说明您的身体老化速度较慢，老化程度比同龄人低。 ______ 您的視網膜年齡比真實年齡小，這說明您的身體老化速度較慢，老化程度比同齡人低。
您的视网膜年龄与真实年龄相差不大，这说明您的身体老化速度正常，老化程度和同龄人相似。 ______ 您的視網膜年齡與真實年齡相差不大，這說明您的身體老化速度正常，老化程度和同齡人相似。
您的视网膜年龄比真实年龄大，这说明您的身体老化速度略快，老化程度比同龄人略高。 ______ 您的視網膜年齡比真實年齡大，這說明您的身體老化速度略快，老化程度比同齡人略高。
您的视网膜年龄比真实年龄大，这说明您的身体老化速度明显增快，老化程度明显高于同龄人。 ______ 您的視網膜年齡比真實年齡大，這說明您的身體老化速度明顯增快，老化程度明顯高於同齡人。
猝死风险 ______ 猝死風險
您的猝死风险为低风险，说明从您当前的状况来看，未来因为上述风险猝死的可能性较低，建议您继续保持。 ______ 您的猝死風險為低風險，說明從您當前的狀況來看，未來因為上述風險猝死的可能性較低，建議您繼續保持。
您的猝死风险为中低风险，说明从您当前的状况来看，未来存在一定因为上述风险猝死的可能性，建议您保持关注。 ______ 您的猝死風險為中低風險，說明從您當前的狀況來看，未來存在一定因為上述風險猝死的可能性，建議您保持關注。
您的猝死风险为中高风险，说明从您当前的状况来看，未来存在较高因为上述风险猝死的可能性，建议您引起重视。 ______ 您的猝死風險為中高風險，說明從您當前的狀況來看，未來存在較高因為上述風險猝死的可能性，建議您引起重視。
您的猝死风险为高风险，说明从您当前的状况来看，未来存在很高因为上述风险猝死的可能性，建议您及时干预。 ______ 您的猝死風險為高風險，說明從您當前的狀況來看，未來存在很高因為上述風險猝死的可能性，建議您及時干預。
立即干预 ______ 立即干預
贫血风险 ______ 貧血風險
外眼像可见瞳孔区不透明体，晶状体颜色加深，眼底红光反射或不可见。 ______ 外眼像可見瞳孔區不透明體，晶狀體顏色加深，眼底紅光反射或不可見。
正常 ______ 正常
需关注 ______ 需關注
密切关注 ______ 密切關注
